knowledge,freq,mean_confidence,confidence_score,job_id,source,best_future_domain,trend_label,trend_score,similarity,future_weight,job_text,review_id,human_valid,human_notes,reviewer_id
Top Secret,1,0.768,0.768,in-f0dc0849f6ec3488,BERT+LLM,Cybersecurity,Strong_Growth,0.9,0.1305609,0.1175048142671585,Candidate must possess an active Top Secret/SCI Eligible clearance.,know_8babc97a6f62,,,
Business Intelligence,1,0.75,0.75,in-a50050792796d401,LLM,Big Data & Analytics,Strong_Growth,0.9,0.44459245,0.4001332014799118,This is a Business Intelligence role helping to produce management information and analytical insights for the South West Probation region using MS365 products especially Power BI.,know_218d34377078,,,
orchestration layers,1,0.75,0.75,in-8922fb1fa43b8894,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.2330655,0.1981056757271289,"Systems Architecture & Engineering Architect scalable and fault -tolerant agent infrastructures that can handle real -time workloads. Write high -performance, maintainable code in Go, Python, or TypeScript to support agent pipelines, integrations, and orchestration layers. Ensure that AI systems follow best practices for observability, testing, and performance tuning.",know_62bc7a4069f7,,,
NASA missions,1,0.75,0.75,in-ba278d0695de316c,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.31576243,0.2999743089079856,"Our Space Systems business designs and builds our extensive line of satellites, payloads, and their components, including spacecraft that have been selected to support NASA missions to the Moon and Mars and components used on the James Webb Space Telescope. SPACE SYSTEMS At Rocket Lab, we're not just launching rockets — we're building the future of space.",know_5c8464f1eef2,,,
IoT subscriptions,1,0.75,0.75,in-17a2ac78c1d98425,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.21845526,0.1856869667768478,"With over 14 million IoT subscriptions active in 165 countries and direct partnerships with 50 mobile networks, we connect you to more than 750 networks worldwide, delivering unmatched value across the IoT connectivity chain. Innovation is in our DNA, and we have an insatiable hunger to 'wow'!",know_73f1033a67ed,,,
AWS MSK,1,0.75,0.75,in-59f89f855608fde0,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.31464893,0.2674515873193741,"You're comfortable building rapid prototypes and iterating on proofs -of -concept to find the best path forward. Clear Communicator: You can articulate complex technical ideas and proposals, fostering open and productive design discussions. --------------------------------------------------------------------------------------------------------------------------------------- Bonus Nice to Haves Experience with our core stack: Databricks, Spark, Kafka, Airflow, Temporal, or dbt. Hands -on experien",know_7cfe07619d84,,,
Data strategy,1,0.75,0.75,in-7d7d7059fbb87261,LLM,Big Data & Analytics,Strong_Growth,0.9,0.35613996,0.3205259621143341,"Learn more about our programs and services at www.DestinationBC.ca. PURPOSE OF POSITION Reporting to the Manager of Digital Analytics, the Data Scientist plays a critical role in driving the organization's data strategy and ensuring the integrity of sector data resources.",know_c88624ff3e7c,,,
Real World Data Science,1,0.75,0.75,in-7c03bbd4f2e27c3a,LLM,Big Data & Analytics,Strong_Growth,0.9,0.4728392,0.4255552858114242,"Real World Data Scientists who are successful in this role will work on challenging problems, using innovative approaches to accelerate the delivery of Real World Insights and Evidence for key internal and external stakeholders with an emphasis on Clinical Development, Regulatory, and Patient Safety applications.",know_595b66830841,,,
space,1,0.75,0.75,in-b4b1e4c5481eb021,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.22471,0.1910035021603107,"This is where you will make a real impact and shape the future of defence across the spectrum of air, land, sea, space and cyberspace.",know_ff2364a0be3d,,,
machine learning lifecycle,1,0.75,0.75,in-59f89f855608fde0,LLM,AI & Machine Learning,Strong_Growth,1.0,0.5449051,0.5449051260948181,"You're comfortable building rapid prototypes and iterating on proofs -of -concept to find the best path forward. Clear Communicator: You can articulate complex technical ideas and proposals, fostering open and productive design discussions. --------------------------------------------------------------------------------------------------------------------------------------- Bonus Nice to Haves Experience with our core stack: Databricks, Spark, Kafka, Airflow, Temporal, or dbt. Hands -on experien",know_b73150e4d4a9,,,
data production,1,0.75,0.75,in-1750ee1a3e08b5fa,LLM,Big Data & Analytics,Strong_Growth,0.9,0.41055113,0.3694960176944732,"The team contributes to the core mandate of the UIS by supporting Member States in data production, validation, and use, with a focus on the Institute’s three strategic pillars: standards and methodologies, data production, and brokerage and outreach.",know_9975b3ca2d31,,,
C++,1,0.75,0.75,in-b608315da704076b,LLM,AI & Machine Learning,Strong_Growth,1.0,0.2742875,0.2742874920368194,"We are using an API -first architecture, and youll need a deep understanding of scientific software development, a user -centric mindset, and proficiency in Python, C + +, CUDA and relevant cheminformatics toolkits.",know_f6f87c9fdcf8,,,
stormwater systems,1,0.75,0.75,in-dcd8dd1044f2926f,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.28103256,0.2388776779174804,"The Stormwater Specialist supports a proactive and integrated approach to managing stormwater systems to protect public health, infrastructure assets, and the environment. collaboration with internal departments, external agencies, and the public to implement best practices in stormwater management and watershed planning.",know_69e3bc324a0c,,,
data protection strategies,1,0.75,0.75,in-761b1a8b3aa91eb0,LLM,Cybersecurity,Strong_Growth,0.9,0.31418014,0.2827621221542358,You will partner with a talented team of Boeing professionals and trusted suppliers to define and implement protection strategies and standards for all classes of data.,know_fea2855b1621,,,
system infrastructure,1,0.75,0.75,in-deb73d430b786346,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.43741217,0.3718003466725349,"Infrastructure Design Services' primary deliverable is the TAD (Technical Architecture Document) which details the infrastructure design for the application, platform or system.",know_ab2231994211,,,
Allen,1,0.558,0.558,in-bdd27d5333d5f2c2,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.22064124,0.2096091784536838,This represents long -term projects interested in Major Systems Overhauls and Improvements.,know_9c0ca0cabbd7,,,
royalty,1,0.551,0.551,in-51f52aa9e15e8653,BERT (standalone),AI & Machine Learning,Strong_Growth,1.0,0.12072581,0.1207258105278015,"Familiarity with data visualization / reporting tools (ex: Looker, Tableau). + Comfort working cross -functionally and communicating with both technical and non -technical stakeholders. + Self -starter mindset with a bias toward execution and accountability. + Experience with IP, royalty -based, or content -driven businesses is a plus.",know_9388c039bc8d,,,
artificial intelligence,1,0.75,0.75,in-e07c53dcbcbf3274,LLM,AI & Machine Learning,Strong_Growth,1.0,0.48278055,0.4827805459499359,"As an organisation, we push the boundaries of data science, optimisation and artificial intelligence to solve the most complex problems in industry.",know_2dd0692ccbad,,,
-computing,1,0.521,0.521,in-ed7c0956d23b6e08,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.35364982,0.3359673336148261,"We examine all applications based on equal skills and applying the principles of non -discrimination. We’re looking for a Software Engineer that has a strong interest in both cloud -computing & Machine Learning in order to help build our complex SAAS solution alongside our world -class tech teams. Our Technical Leads will form feature teams - consisting of Frontend Software Engineers, Backend Software Engineers , Product Managers & Product Designers.",know_6879357c04bb,,,
real,1,0.559,0.559,in-bc3b380ce792d5ca,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.08999481,0.0854950699955224,"Experience with real -time dashboards, analytics tools, voice or AI -related products, or prior work in fast -paced startup environments would be highly valuable but not required. To Apply Please send your CV/resume, portfolio (Figma, Behance, Dribbble or PDF) and a brief cover letter to careers@amplifirm.com with the subject line “UI/UX Designer – [Your Name]”.",know_4bca24304861,,,
theoretical physics,1,0.75,0.75,in-04b0497aa91e1731,LLM,AI & Machine Learning,Strong_Growth,1.0,0.12991081,0.1299108117818832,Candidates may approach this intersection from any point along the spectrum. Specific areas of interest include: (1 ) AI and quantum information science; (2 ) AI and theoretical physics; (3 ) AI and its mathematical and physical foundations.,know_f441b38f807d,,,
ASICs,1,0.75,0.75,in-68071ee351033ae8,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.22244553,0.2113232560455799,Job Description: Broadcom is seeking an experienced IC package -design engineer for complex flip -chip -BGA packages for industry -leading ASICs with high -speed SerDes and very -high -power delivery needs.,know_0b3b180fbaf7,,,
Nerdio,1,0.75,0.75,in-7f1b7715acb11a2e,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.07536431,0.0715960912406444,"Leveraging Nerdio, partners can manage customers’ cloud environments through streamlined, multi -tenant, workflow -powered technology that allows them to create and grow cloud -based recurring revenues.",know_e05ded29e1c3,,,
-assisted engineering,1,0.535,0.535,in-b6d25c92fe133ceb,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.42324013,0.4020781189203262,"As an Integration Developer, you will gain hands -on experience working with industry -leading platforms such as MuleSoft, Boomi, Workato and IBM Sterling, along with modern messaging systems and AI -assisted engineering tools.",know_7bdf6515c3df,,,
EU AI Act,1,0.75,0.75,in-8082f00eb720b9ce,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.4285988,0.4071688517928123,"RAIMS Innovation Fellow (OIP) 100 -Day Research & Build Program — MSc/PhD Graduates Tracks: EXTRACT • CUSTOMIZE • LOAD Program: Orcawise Innovation Program (OIP) Focus: Development of RAIMS™ (Responsible AI Management System) About the Program The Orcawise Innovation Program (OIP) is a 100 -day research and build work experience program designed for MSc and PhD graduates looking to transition to a career in Responsible AI Management Systems (RAIMS) As a Fellow, you’ll join a small, high -impact ",know_3406d9b84c9f,,,
Reporting and analytics,1,0.824,0.824,in-57793e22513bd508,BERT+LLM,Big Data & Analytics,Strong_Growth,0.9,0.42088804,0.378799232840538,"Strong understanding of moving customers from SAP Process Integration (PI), Process Orchestration (PO), APIs, and middleware technologies to SAP Integration Suite, Familiar with SAP’s ISA -M methodology. Data Architecture and Management: Reporting and analytics, data modeling, master data management and governance, and data quality.",know_a7a7bca02a48,,,
-end,4,0.505,0.505,in-ea5fe0c67dbb09a7,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.16229057,0.1541760444641113,"Requirements Bachelor’s degree in computer science or equivalent. Minimum 3 + years of Proven experience as a full stack developer or similar role. Strong experience in back -end languages Java, Spring Boot. Strong experience in JavaScript frameworks such as ReactJS and Node.js. Strong Experience in designing and implementing REST based micro services using Spring Boot/Node.js. Knowledge of multiple front -end languages and libraries (HTML5/ CSS3, JavaScript, JSON, jQuery) Experience in developi",know_fed2710e5ad7,,,
"props,",1,0.405,0.405,in-2284d87b510f9e95,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.096880175,0.0920361664146184,"You will collaborate closely with designers and other cross -functional teams (including offshore developers) to specify, model, and texture a wide range of assets: environments, props, and watercraft.",know_cf0a47735a43,,,
Terraform,3,0.782,0.782,in-59f89f855608fde0,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.46841225,0.3981504127383232,"You're comfortable building rapid prototypes and iterating on proofs -of -concept to find the best path forward. Clear Communicator: You can articulate complex technical ideas and proposals, fostering open and productive design discussions. --------------------------------------------------------------------------------------------------------------------------------------- Bonus Nice to Haves Experience with our core stack: Databricks, Spark, Kafka, Airflow, Temporal, or dbt. Hands -on experien",know_303e96f80576,,,
data integrations,1,0.75,0.75,in-70a2eb5261b8c030,LLM,Big Data & Analytics,Strong_Growth,0.9,0.44868675,0.4038180738687515,"Design and Develop software and technology solutions consistent with stated architectural principles and guidelines Design, develop, and unit test resolution for production defects Design and develop complex data integrations solutions consistent with stated architectural principles and guidelines Participate in peer code review, collaborate with Architects, and share insights/input with fellow developers/Sr developers Collaborate with Quality Assurance to solve complex problems/defects, and lea",know_21116888b981,,,
end,1,0.493,0.493,in-306171b39786b1a3,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.13394311,0.1272459551692009,"We need a ""full -stack"" data scientist who can own the end -to -end ML lifecycle.",know_7f021a1415b8,,,
platform infrastructure,1,0.75,0.75,in-deb73d430b786346,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.4684826,0.3982102215290069,"Infrastructure Design Services' primary deliverable is the TAD (Technical Architecture Document) which details the infrastructure design for the application, platform or system.",know_1359886ea374,,,
NLP -related,1,0.464,0.464,in-8335c5296046dc27,BERT (standalone),AI & Machine Learning,Strong_Growth,1.0,0.33349234,0.3334923386573791,Preferred Qualifications Internship experience in data annotation or content moderation. Participation in machine learning or NLP -related projects. Basic programming skills (Python/SQL preferred).,know_3a7e7ae48d39,,,
ethical AI,1,0.75,0.75,in-fac0a95b0783fd9d,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.6117528,0.5811651676893234,"In addition to impactful research, the project features an ambitious stakeholder engagement program designed to inspire young people to pursue STEM careers, increase public understanding of uncertainty and risk, and engage the public with the ethical & sustainable AI agenda.",know_c6b324421c15,,,
IAEA (Institute of Automotive Engineers Assessors),1,0.75,0.75,in-08d8ebb8b3e31904,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.19594932,0.1861518502235412,Member or working toward membership of the IAEA (Institute of Automotive Engineers Assessors) Benefits: Assess Ireland encourage and provide continued professional development.,know_a6ee72beb3e7,,,
geospatial AI,1,0.75,0.75,in-b71a98ce2c6eb508,LLM,AI & Machine Learning,Strong_Growth,1.0,0.39252383,0.3925238251686096,"Who we are, what we do -------------------------- Sensat is a geospatial AI business that powers advanced and highly functional digital twins for the world's most critical infrastructure projects.",know_389df70219c5,,,
UK security clearance (SC),1,0.75,0.75,in-1e31fbb8ac627972,LLM,Cybersecurity,Strong_Growth,0.9,0.29459772,0.2651379436254501,Please note you need to be eligible to undergo the UK security clearance (SC) processto be considered for this role.,know_17d0553b88b5,,,
Revenue Cloud,1,0.75,0.75,in-3a39cfdef1dc8c0a,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.3438623,0.2922829508781433,"JS, or JavaScript. Experience with Salesforce DX, SFDX CLI, CI/CD tooling (GitHub/Bitbucket, Splunk/Sumologic) and test automation frameworks. Knowledge and understanding building APEX code/classes, triggers, integrations, Visualforce/ Lightning UI components. Experience in design and implementation of real -time and batch integration with Salesforce and other systems using REST/Bulk APIs. Experience with Agile development environments, secure coding practices and security implementations. Sales",know_bf32ba11305d,,,
CORE (conférences sur la race et l'ethnicité),1,0.75,0.75,in-2c13c2be76b85ef4,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.13216498,0.1123402372002601,"Des événements et des expériences d'apprentissage toujours en cours, notamment les conférences sur la race et l'ethnicité (CORE) et AmazeCon (diversité des genres), nous incitent à ne jamais cesser de valoriser nos différences.",know_e76b6c36f9b6,,,
Distribution Centre,1,0.75,0.75,in-4f4c7c65d5d697a1,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.2312731,0.1965821348130703,"This diverse role will see you manage a seamless flow of stock from our Distribution Centre to our stores, in order to execute the brand’s merchandise plan.",know_623ee752ec27,,,
Business analysis,1,0.75,0.75,in-601c49b2a52c9d10,LLM,Big Data & Analytics,Strong_Growth,0.9,0.3088161,0.2779344946146011,We bring together people and resources to build the framework that powers our nation. IT BUSINESS ANALYST - PRODUCT OWNER The IT Business Analyst & Product Owner will work as a liaison between IT and the Business areas to understand and translate business processes into system/software requirements and designs that support Operations teams.,know_3aa136e2e02d,,,
Spark,1,0.75,0.75,in-59f89f855608fde0,LLM,Big Data & Analytics,Strong_Growth,0.9,0.14297974,0.1286817669868469,"You're comfortable building rapid prototypes and iterating on proofs -of -concept to find the best path forward. Clear Communicator: You can articulate complex technical ideas and proposals, fostering open and productive design discussions. --------------------------------------------------------------------------------------------------------------------------------------- Bonus Nice to Haves Experience with our core stack: Databricks, Spark, Kafka, Airflow, Temporal, or dbt. Hands -on experien",know_8cde774d6f73,,,
AI and theoretical physics;,1,0.535,0.535,in-04b0497aa91e1731,BERT (standalone),Human-AI Collaboration,Strong_Growth,0.95,0.50009835,0.4750934302806854,Candidates may approach this intersection from any point along the spectrum. Specific areas of interest include: (1 ) AI and quantum information science; (2 ) AI and theoretical physics; (3 ) AI and its mathematical and physical foundations.,know_656cc3da5e44,,,
AD,1,0.846,0.846,in-78cf01cb605e5896,BERT+LLM,Human-AI Collaboration,Strong_Growth,0.95,0.20485133,0.1946087628602981,"Deploy and manage Delinea/Thycotic PAM solutions in secure networks Integrate with enterprise identity systems (e.g., AD, Azure AD) Work on high -impact national security programs Company Description Showtime Consulting is a leading provider of Shielded Cloud Solutions.",know_e182ebbc166d,,,
AI Ethics,1,0.75,0.75,in-ab58924bac1bc121,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.6494368,0.6169649332761764,Apply now and make an impact with the Sony AI Ethics Team!The target hourly rate for this internship is $45 .00 per hour.,know_179331fd0119,,,
Cybersecurity programs,1,0.75,0.75,in-2650e0f960a33a06,LLM,Cybersecurity,Strong_Growth,0.9,0.5993775,0.5394397616386414,"As a cybersecurity professional in EY Singapore, you will have the chance to work with an international connected team of specialists in serving our clients through providing independent assessments or implementation of cyber solutions that contributes toward their business resilience. Core Cybersecurity - You will work with your project team and the client to execute engagements which help the client to measure the effectiveness of its cybersecurity programs, assess the cybersecurity risk of a ",know_84e63a35e6c1,,,
rule of law,1,0.75,0.75,in-9f20bda14e76bb36,LLM,Human-AI Collaboration,Strong_Growth,0.95,0.09349737,0.0888225045055151,"Work in the Unit is varied, underpinned by a strong focus on the rule of law, representative democracy and open government, honouring Te Tiriti o Waitangi, the separation of powers, and progressing human rights. Criminal Justice Unit Work in the Criminal Justice Unit incorporates a broad focus on developments in criminal law, both internationally and domestically.",know_d87d850f0f70,,,
precision engagement defense systems,1,0.75,0.75,in-fc11b6dbc96f4b5e,LLM,Cybersecurity,Strong_Growth,0.9,0.3348366,0.3013529419898987,"MFC is a recognized designer, developer and manufacturer of precision engagement aerospace and defense systems for the U.S. and allied militaries.",know_b1487303d218,,,
data sources,1,0.75,0.75,in-3aa8c945bc3697b7,LLM,Big Data & Analytics,Strong_Growth,0.9,0.42880848,0.3859276324510574,"Integrate Power Apps with SharePoint Online, Dataverse, and other data sources.",know_66419de72b8e,,,
Data Protection Act,1,0.815,0.815,in-4c389f9a726a4278,BERT+LLM,Cybersecurity,Strong_Growth,0.9,0.28682497,0.2581424742937088,"The post holder must be able to demonstrate experience and a thorough understanding of all aspects of Information Governance in respect of the Data Protection Act with proven experience of working with stakeholders and employees on their awareness and understanding of IG, the post holder will evidence an excellent track record of processing Subject Access Requests Career Progression pathways and development opportunities: We are committed to get the very best out of our staff and support staff i",know_d2bc3e67ea07,,,
legislation covering Parliament Square Gardens,1,0.75,0.75,in-a6f8576a187e1494,LLM,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.15763621,0.133990778774023,"The job holder will be required to qualify to become a warranted enforcement Officer in relation to the legislation covering Trafalgar Square and Parliament Square Gardens, within 4 months of commencing the role, training for this will be provided.",know_f16bcea2e13e,,,
Transport Planning,1,0.847,0.847,in-d7f955d1258c78ff,BERT+LLM,Human-AI Collaboration,Strong_Growth,0.95,0.20025304,0.1902403876185417,"This role will see you working as part of our highly experienced team where you will apply your prior engineering and analytical technical skills to produce engineering solutions for a range of AECOM’s Transport and Civil Infrastructure projects, including Cairns Ring Road and other large -scale State Government projects. Be part of a close -knit Far North Queensland office while connected to a national network of engineers and designers. Opportunity to apply prior Civil Engineering project expe",know_33bea3daf379,,,
"testing,",3,0.543,0.543,in-acb2a7db662d2b2b,BERT (standalone),,,,,,"Collaborate with data scientists, product teams, engineers and researchers to integrate ML models into real -world applications.",know_34c6ecc4bc3d,,,
Incident response,1,0.75,0.75,in-ec5e0638c86de1ac,LLM,,,,,,"IT Security Analyst Posting Start Date: 12/1/25 Job Location (Short): Chicago, Illinois, USA, 60631 | Milwaukee, Wisconsin, USA, 53204 -2941 Requisition ID: 34596 Onsite or Remote: Onsite Position Join Komatsu and Be Part of Something Big! Job Overview ---------------- The IT Security Analyst role at Komatsu, based in Milwaukee or Chicago, is responsible for enhancing and protecting the company’s global security posture through hands -on participation in security monitoring, incident response, v",know_7fb1ca7b0dfc,,,
Finance,2,0.75,0.75,in-a61c1082390cb772,LLM,,,,,,"Operational Coordination & Compliance Liaise with Legal, Compliance, Finance, and Tech to support deal execution, documentation review, and internal approvals. Draft and manage legal documents such as SAFTs, ensuring review cycles and audit readiness. Identify process gaps in BD ops and recommend scalable, audit -aligned improvements. 4 .",know_c482980d384a,,,
/,22,0.4884137931034483,0.4884137931034483,in-68c8bc8b4022b6bd,BERT (standalone),,,,,,"We don’t expect you to know them all but experience or exposure with some of these (or equivalents) will set you up for success in this team; Backend: .NET, C #, or willingness to learn Frontend: React.js, Next.js, Angular.js Architecture: Deep expertise in Microservices, GraphQL (Apollo), RESTful APIs, and domain -driven design. CI/CD: GitHub Actions, Jenkins, Bitbucket Pipelines, Gitlab Runners. Cloud knowledge with AWS Containerization using docker or kubernetes GenAI Studio(Copilot/RooCode/C",know_6666cd76f969,,,
Risk Management,1,0.694,0.694,in-be694c81d73fe006,BERT+LLM,,,,,,"Synthesize feedback from stakeholders into actionable systems for developers. Cross -Functional Partnership: Collaborate with our operations teams to own partnerships with cross -functional teams, excelling in relationship management and delivery. Problem Solving and Risk Management: Be an excellent observer and proactive problem solver, maintaining an outstanding risk register and identifying risks early to remove roadblocks and potential bottlenecks.",know_7228bb53bb78,,,
SCI Eligible,1,0.735,0.735,in-f0dc0849f6ec3488,BERT+LLM,,,,,,Candidate must possess an active Top Secret/SCI Eligible clearance.,know_e46022de5517,,,
hardware,1,0.75,0.75,in-cf7f60dee735734d,LLM,,,,,,"We are dedicated to making Google experiences centered around the user.Responsibilities -------------------- Write product or system development code. Participate in, or lead design reviews with peers and stakeholders to decide among available technologies. Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency). Contribute to existing documentation or educational content and adapt c",know_3ca14c518d1b,,,
agile,1,0.334,0.334,in-4549356d318c0337,BERT (standalone),,,,,,Work with the latest commercial products such as AWS in an agile environment on various applications designed and maintained for broad range IC customers.,know_22723bbd4217,,,
